wffftgt_20220520_232523_0036_corr.fit4  magnitude is: -1.65
wffftgt_20220520_232523_0038_corr.fit0  magnitude is: -2.175
wffftgt_20220520_232523_0038_corr.fit1  magnitude is: -1.575
wffftgt_20220520_232523_0038_corr.fit2  magnitude is: -1.625
wffftgt_20220520_232523_0038_corr.fit3  magnitude is: -2.65
wffftgt_20220520_232523_0038_corr.fit4  magnitude is: -1.35
wffftgt_20220520_232523_0040_corr.fit0  magnitude is: -3.525
wffftgt_20220520_232523_0040_corr.fit1  magnitude is: -3.075
wffftgt_20220520_232523_0040_corr.fit2  magnitude is: -2.45
wffftgt_20220520_232523_0040_corr.fit3  magnitude is: -4.175
wffftgt_20220520_232523_0040_corr.fit4  magnitude is: -2.125
